Genre,Publication Date,Author,Title,Rating,Ratings Count,Reviews Count,Auth_Books,Auth_Followers
"History,Nonfiction,Biography,Classics,War,Memoir,Philosophy,...more",1926-01-01,T.E. Lawrence,Seven Pillars of Wisdom: A Triumph,3.9,11266.0,923.0,269.0,343.0
"Fiction,Classics,Coming,Of,Age,Southern,Novels,Literary,Fiction,Young,Adult,...more",1946-01-01,Carson McCullers,The Member of the Wedding,3.82,18654.0,1723.0,161.0,2876.0
"History,Nonfiction,Philosophy,World,History,Reference,Historical Classics,...more",1975-01-01,Will Durant,Story of Civilization,4.43,1752.0,172.0,743.0,2790.0
"Poetry,Classics,American,Literature,Fiction20th,Century,The,United,States,Of,America,...more",1954-01-01,Wallace Stevens,The Collected Poems,4.27,11429.0,195.0,169.0,469.0
"Fiction,Poetry,Short,Stories,Literature,Humor,Classics,Novels,...more",1967-01-01,Richard Brautigan,Trout Fishing in America / The Pill vs. the Springhill Mine Disaster / In Watermelon Sugar,4.15,9710.0,472.0,144.0,2064.0
"Historical Fiction,Fiction,Romance,Classics,Canada,Historical Young,Adult,...more",1947-01-01,Benedict Freedman,Mrs. Mike,4.15,19770.0,2401.0,12.0,58.0
"Fiction,Southern,Historical Fiction,Military,Fiction,Contemporary,Literature,Classics,...more",1976-01-01,Pat Conroy,The Great Santini,4.15,33464.0,1465.0,72.0,3636.0
"Fiction,Classics,Novels,American,Literature,The,United,States,Of,America,Romance,...more",1939-01-01,John Fante,Ask the Dust,4.1,36089.0,2643.0,50.0,2121.0
"Short,Stories,Fiction,Westerns,L,G,B,T,Literature,Contemporary,Literary,Fiction,...more",1999-05-10,Annie Proulx,Close Range: Wyoming Stories,3.99,17436.0,1471.0,66.0,3031.0
"Fiction,Historical Fiction,Literature,Historical African,American,Race,Novels,...more",1968-01-01,William Styron,The Confessions of Nat Turner,3.95,15749.0,677.0,99.0,845.0
"Fiction,Classics,Historical Fiction,Jewish,New,York,American,Literature,...more",1934-01-01,Henry Roth,Call It Sleep,3.81,8690.0,567.0,65.0,85.0
"Fiction,Classics,Spanish,Literature,Latin,American,Novels,Literature,Latin,American,Literature,...more",1961-01-01,Ernesto Sabato,Sobre héroes y tumbas,4.26,12677.0,738.0,90.0,1996.0
"Fiction,Classics,Literature,Nobel,Prize,Novels,Scandinavian,Literature20th,Century,...more",1917-01-01,Knut Hamsun,Growth of the Soil,4.23,10937.0,968.0,596.0,2245.0
"Nonfiction,History,Biography,Memoir,War,Classics,World,War,I,...more",1929-01-01,Robert Graves,Goodbye to All That,3.93,14846.0,850.0,490.0,1767.0
"Classics,Fiction,German,Literature,School Literature,Novels20th,Century,...more",1957-10-01,Max Frisch,Homo Faber,3.69,27659.0,1042.0,245.0,728.0
"Fiction,Classics,Historical Fiction,School Novels,Literature,Literary,Fiction,...more",1977-01-01,Leslie Marmon Silko,Ceremony,3.84,24327.0,2067.0,35.0,861.0
"Fiction,Classics,American,Novels,Literature,Literary,Fiction20th,Century,...more",1981-01-01,John Updike,Rabbit Is Rich,3.92,17363.0,737.0,793.0,2283.0
"Memoir,Nonfiction,Biography,Biography,Memoir,Coming,Of,Age,Autobiography,Classics,...more",1989-01-01,Tobias Wolff,This Boy's Life,3.96,29568.0,1787.0,169.0,1152.0
"Nonfiction,History,War,Memoir,Journalism,Military,Fiction,Military,History,...more",1977-01-01,Michael Herr,Dispatches,4.22,20259.0,1356.0,13.0,135.0
"Fiction,Classics,Africa,Literature,Novels,American,Literary,Fiction,...more",1959-01-01,Saul Bellow,Henderson the Rain King,3.77,15556.0,979.0,249.0,1838.0
"Historical Fiction,Fiction,Civil,War,War,Classics,American,Civil,War,Historical,...more",1955-01-01,MacKinlay Kantor,Andersonville,4.1,8190.0,407.0,203.0,62.0
"Fiction,Classics,German,Literature,Literature,Nobel,Prize,Novels,Bulgaria,...more",1935-01-01,Elias Canetti,Auto-da-Fé,4.02,6182.0,586.0,134.0,608.0
"Historical Fiction,Fiction,Classics,Historical Literature,Novels,Roman,...more",1934-01-01,Robert Graves,Claudius the God and His Wife Messalina,4.21,15554.0,779.0,490.0,1767.0
"Poetry,Classics,Literature,Fiction,American20th,Century,The,United,States,Of,America,...more",1970-01-01,Ezra Pound,The Cantos,3.91,5275.0,165.0,458.0,934.0
"Fiction,France,Classics,French,Literature,Literature,China,Novels,...more",1933-04-28,André Malraux,Man's Fate,3.74,5953.0,415.0,245.0,364.0
"Fiction,Classics,Westerns,Coming,Of,Age,Literature,Historical Fiction,Novels,...more",1966-01-01,Larry McMurtry,The Last Picture Show,4.0,18993.0,1269.0,174.0,3418.0
"Philosophy,Nonfiction,Politics,Theory,Sociology,Art,France,...more",1967-01-01,Guy Debord,The Society of the Spectacle,4.02,21081.0,1124.0,88.0,670.0
"Fantasy,Fiction,Magical,Realism,Novels,Science,Fiction,Fantasy,Unfinished,Science,Fiction,...more",1981-09-01,John Crowley,"Little, Big",3.81,11656.0,1713.0,118.0,779.0
"Fiction,Classics,Italian,Literature,Italy,Literature,Novels,Magical,Realism,...more",1940-01-01,Dino Buzzati,The Tartar Steppe,4.21,32819.0,3012.0,269.0,995.0
"Christmas,Picture,Books,Childrens,Fiction,Holiday,Classics,Christian,...more",1946-01-01,Charles Tazewell,The Littlest Angel,4.28,6155.0,226.0,43.0,4.0
"Historical Fiction,Fiction,Historical Medieval,Fantasy,Romance,British,Literature,...more",1985-01-01,Sharon Kay Penman,Here Be Dragons,4.29,24222.0,1588.0,36.0,3922.0
"Fiction,War,Historical Fiction,World,War,I,I,Military,Fiction,Literature,Novels,...more",1962-01-01,James  Jones,The Thin Red Line,3.99,14028.0,353.0,47.0,237.0
"Historical Fiction,Fiction,Historical Medieval,British,Literature15th,Century,Plantagenet,...more",1982-10-01,Sharon Kay Penman,The Sunne in Splendour,4.4,22092.0,1429.0,36.0,3922.0
"Fiction,Classics,Literature,Historical Fiction,Novels,Religion,British,Literature,...more",1980-01-01,Anthony Burgess,Earthly Powers,4.13,3257.0,301.0,308.0,3936.0
"Plays,Drama,Theatre,Fiction,France,Classics,Literature,...more",1962-01-01,Eugène Ionesco,Rhinoceros / The Chairs / The Lesson,4.02,5917.0,103.0,424.0,897.0
