Genre,Publication Date,Author,Title,Rating,Ratings Count,Reviews Count,Auth_Books,Auth_Followers
"Nonfiction,History,War,Memoir,Journalism,Military,Fiction,Military,History,more",1977-01-01,Michael Herr,Dispatches,4.22,20259,1356,13.0,135.0
"Fiction,Classics,Africa,Literature,Novels,American,Literary,Fiction,more",1959-01-01,Saul Bellow,Henderson the Rain King,3.77,15556,979,249.0,1838.0
"Historical Fiction,Fiction,Civil,War,War,Classics,American,Civil,War,Historical,more",1955-01-01,MacKinlay Kantor,Andersonville,4.1,8190,407,203.0,62.0
"Fiction,Classics,German,Literature,Literature,Nobel,Prize,Novels,Bulgaria,more",1935-01-01,Elias Canetti,AutodaF,4.02,6182,586,134.0,608.0
"Historical Fiction,Fiction,Classics,Historical Literature,Novels,Roman,more",1934-01-01,Robert Graves,Claudius the God and His Wife Messalina,4.21,15554,779,490.0,1767.0
"Fiction,Classics,Crime,Mystery,Thriller,Literature,British,Literature,more",1938-01-01,Graham Greene,Brighton Rock,3.7,32953,2129,496.0,5503.0
"Poetry,Classics,Literature,Fiction,Americanth,Century,The,United,States,Of,America,more",1970-01-01,Ezra Pound,The Cantos,3.91,5275,165,458.0,934.0
"Fiction,France,Classics,French,Literature,Literature,China,Novels,more",1933-04-28,Andr Malraux,Mans Fate,3.74,5953,415,245.0,364.0
"Fiction,Classics,Westerns,Coming,Of,Age,Literature,Historical Fiction,Novels,more",1966-01-01,Larry McMurtry,The Last Picture Show,4.0,18993,1269,174.0,3418.0
"Philosophy,Nonfiction,Politics,Theory,Sociology,Art,France,more",1967-01-01,Guy Debord,The Society the Spectacle,4.02,21081,1124,88.0,670.0
"Fantasy,Fiction,Magical,Realism,Novels,Science,Fiction,Fantasy,Unfinished,Science,Fiction,more",1981-09-01,John Crowley,Little Big,3.81,11656,1713,118.0,779.0
"Fiction,Classics,Italian,Literature,Italy,Literature,Novels,Magical,Realism,more",1940-01-01,Dino Buzzati,The Tartar Steppe,4.21,32819,3012,269.0,995.0
"Christmas,Picture,Books,Childrens,Fiction,Holiday,Classics,Christian,more",1946-01-01,Charles Tazewell,The Littlest Angel,4.28,6155,226,43.0,4.0
"Historical Fiction,Fiction,Historical Medieval,Fantasy,Romance,British,Literature,more",1985-01-01,Sharon Kay Penman,Here Dragons,4.29,24222,1588,36.0,3922.0
"Fiction,War,Historical Fiction,World,War,I,I,Military,Fiction,Literature,Novels,more",1962-01-01,James Jones,The Thin Red Line,3.99,14028,353,47.0,237.0
"Historical Fiction,Fiction,Historical Medieval,British,Literatureth,Century,Plantagenet,more",1982-10-01,Sharon Kay Penman,The Sunne Splendour,4.4,22092,1429,36.0,3922.0
"Fiction,Classics,Literature,Historical Fiction,Novels,Religion,British,Literature,more",1980-01-01,Anthony Burgess,Earthly Powers,4.13,3257,301,308.0,3936.0
"Plays,Drama,Theatre,Fiction,France,Classics,Literature,more",1962-01-01,Eug ne Ionesco,Rhinoceros The Chairs The Lesson,4.02,5917,103,424.0,897.0
"Fiction,Africa,Classics,Historical Fiction,Nobel,Prize,South,Africa,Literature,more",1950-01-01,Doris Lessing,The Grass Singing,3.83,14048,1351,488.0,2850.0
"Fiction,Historical Fiction,Classics,Literary,Fiction,Southern,Novels,Historical,more",1954-01-01,Harriette Simpson Arnow,The Dollmaker,4.17,3707,519,18.0,79.0
"Fantasy,Fiction,Historical Fiction,Arthurian,Historical Mythology,Science,Fiction,Fantasy,more",1973-01-01,Mary Stewart,The Hollow Hills,4.25,22412,691,110.0,2569.0
"Fiction,Historical Fiction,War,Holocaust,Italian,Literature,Classics,Italy,more",1982-01-01,Primo Levi,Not Now When,4.23,3838,239,168.0,2010.0
"Fiction,Historical Fiction,Canada,War,Holocaust,Historical Literary,Fiction,more",1996-05-11,Anne Michaels,Fugitive Pieces,3.92,16564,1458,15.0,28.0
"Historical Fiction,Fiction,Classics,Christian,Fiction,Christian,Religion,Historical,more",1942-10-01,Lloyd Douglas,The Robe,4.23,26248,1479,102.0,513.0
"Nonfiction,Animals,Nature,Science,Memoir,Biography,Canada,more",1963-01-01,Farley Mowat,Never Cry Wolf The Amazing True Story Life Among Arctic Wolves,4.21,24967,1392,99.0,617.0
"Fiction,Classics,Literature,Medicine,Historical Fiction,Novels,Medical,more",1925-01-01,Sinclair Lewis,Arrowsmith,3.83,8125,598,369.0,985.0
"Fiction,Classics,Historical Fiction,War,World,War,I,I,Literature,Novels,more",1951-01-01,James Jones,From Here Eternity,4.08,17709,632,47.0,237.0
"Poetry,Russia,Russian,Literature,Classics,Fiction,Literature,Womens,more",1965-01-01,Anna Akhmatova,The Complete Poems Anna Akhmatova,4.42,7443,101,378.0,879.0
"Fiction,Mystery,Novels,British,Literature,Literature,Literary,Fiction,Contemporary,more",1989-01-01,Martin Amis,London Fields,3.67,12757,990,84.0,2841.0
"Nonfiction,Sociology,Science,Philosophy,History,Psychology,Technology,more",1970-01-01,Alvin Toffler,Future Shock,3.81,5029,403,57.0,655.0
